zipcode,neighborhood,borough,resilience,popdensity,pd
11104,Long Island City - Astoria,Queens,0.860893243,57940.52323,5794.052323
11105,Long Island City - Astoria,Queens,0.864971438,21130.71402,2113.071402
11106,Long Island City - Astoria,Queens,0.86022582,44028.83754,4402.883754
11109,Long Island City - Astoria,Queens,0.871187172,88080.05481,8808.005481
11201,Downtown - Heights - Slope,Brooklyn,0.876819501,42997.53032,4299.753032
11203,East Flatbush - Flatbush,Brooklyn,0.855447691,34978.24314,3497.824314
11204,Borough Park,Brooklyn,0.848747202,48901.01188,4890.101188
11205,Downtown - Heights - Slope,Brooklyn,0.866993778,56122.67025,5612.267025
11206,Williamsburg - Bushwick,Brooklyn,0.860248931,60569.08333,6056.908333
11207,East New York,Brooklyn,0.851755236,34331.78887,3433.178887
11208,East New York,Brooklyn,0.84659028,35617.59414,3561.759414
11209,Bensonhurst - Bay Ridge,Brooklyn,0.860583949,32670.92947,3267.092947
11210,East Flatbush - Flatbush,Brooklyn,0.853706773,37648.1996,3764.81996
11211,Greenpoint,Brooklyn,0.859355701,71040.43997,7104.043997
11212,Bedford Stuyvesant - Crown Heights,Brooklyn,0.850818621,50220.67506,5022.067506
11213,Bedford Stuyvesant - Crown Heights,Brooklyn,0.857910348,63093.41567,6309.341567
11214,Bensonhurst - Bay Ridge,Brooklyn,0.857567461,42275.95778,4227.595778
11215,Downtown - Heights - Slope,Brooklyn,0.880231405,31459.4714,3145.94714
11216,Bedford Stuyvesant - Crown Heights,Brooklyn,0.871254613,60845.21983,6084.521983
11217,Downtown - Heights - Slope,Brooklyn,0.873093789,53849.68323,5384.968323
11218,Borough Park,Brooklyn,0.855772795,54758.34568,5475.834568
11219,Borough Park,Brooklyn,0.846122955,59321.45309,5932.145309
11220,Sunset Park,Brooklyn,0.8549577,54739.14371,5473.914371
11221,Williamsburg - Bushwick,Brooklyn,0.863459353,60212.24552,6021.224552
11222,Greenpoint,Brooklyn,0.870234709,24004.30405,2400.430405
11223,Coney Island - Sheepshead Bay,Brooklyn,0.843188388,38653.90863,3865.390863
11224,Coney Island - Sheepshead Bay,Brooklyn,0.841629465,27338.55176,2733.855176
11225,East Flatbush - Flatbush,Brooklyn,0.863916997,66891.16257,6689.116257
11226,East Flatbush - Flatbush,Brooklyn,0.859430239,70433.28515,7043.328515
11228,Bensonhurst - Bay Ridge,Brooklyn,0.858877625,28168.99149,2816.899149
11229,Coney Island - Sheepshead Bay,Brooklyn,0.849017372,38545.96964,3854.596964
11230,Borough Park,Brooklyn,0.835964061,48101.62011,4810.162011
11231,Downtown - Heights - Slope,Brooklyn,0.875078463,26814.00163,2681.400163
11232,Sunset Park,Brooklyn,0.853577268,13186.84194,1318.684194
11233,Bedford Stuyvesant - Crown Heights,Brooklyn,0.865895549,58480.59869,5848.059869
11234,Canarsie - Flatlands,Brooklyn,0.856723429,12646.53136,1264.653136
11235,Coney Island - Sheepshead Bay,Brooklyn,0.838149232,31804.86669,3180.486669
11236,Canarsie - Flatlands,Brooklyn,0.856229846,29173.12724,2917.312724
11237,Williamsburg - Bushwick,Brooklyn,0.858598612,49685.3143,4968.53143
11238,Bedford Stuyvesant - Crown Heights,Brooklyn,0.871078235,52303.26045,5230.326045
11239,Canarsie - Flatlands,Brooklyn,0.832772937,8519.828931,851.9828931
11354,Flushing - Clearview,Queens,0.855624369,24146.26699,2414.626699
11355,Flushing - Clearview,Queens,0.854734951,45722.49447,4572.249447
11356,Flushing - Clearview,Queens,0.848188052,15119.92594,1511.992594
11357,Flushing - Clearview,Queens,0.855149469,14202.16897,1420.216897
11358,Flushing - Clearview,Queens,0.864961431,18637.69388,1863.769388
11360,Flushing - Clearview,Queens,0.865373699,13607.31074,1360.731074
11361,Bayside - Little Neck,Queens,0.865780892,15117.83676,1511.783676
11362,Bayside - Little Neck,Queens,0.867571235,9352.554585,935.2554585
11363,Bayside - Little Neck,Queens,0.870473237,8160.63167,816.063167
11364,Bayside - Little Neck,Queens,0.871085646,11982.88884,1198.288884
11365,Fresh Meadows,Queens,0.861786804,17976.21791,1797.621791
11366,Fresh Meadows,Queens,0.852147437,19665.24921,1966.524921
11367,Fresh Meadows,Queens,0.850880305,15778.72226,1577.872226
11368,West Queens,Queens,0.838227403,43109.78005,4310.978005
11369,West Queens,Queens,0.824784904,29197.46768,2919.746768
11370,West Queens,Queens,0.836022479,37306.8544,3730.68544
11372,West Queens,Queens,0.836080938,86908.93464,8690.893464
11373,West Queens,Queens,0.841060446,61725.75737,6172.575737
11374,Ridgewood - Forest Hills,Queens,0.846359501,48127.13872,4812.713872
11375,Ridgewood - Forest Hills,Queens,0.859597529,36630.141,3663.0141
11377,West Queens,Queens,0.845464255,32534.64185,3253.464185
11378,West Queens,Queens,0.855590628,16209.48366,1620.948366
11379,Ridgewood - Forest Hills,Queens,0.853045808,18381.41789,1838.141789
11385,Ridgewood - Forest Hills,Queens,0.853453381,24083.99173,2408.399173
11411,Southeast Queens,Queens,0.854898468,16095.07384,1609.507384
11412,Jamaica,Queens,0.850348801,23023.33758,2302.333758
11413,Southeast Queens,Queens,0.854360094,13469.69288,1346.969288
11414,Southwest Queens,Queens,0.845539435,12347.58254,1234.758254
11415,Southwest Queens,Queens,0.848561811,31345.81113,3134.581113
11416,Southwest Queens,Queens,0.842722958,39545.40757,3954.540757
11417,Southwest Queens,Queens,0.842512822,28078.94254,2807.894254
11418,Southwest Queens,Queens,0.843433347,33434.09907,3343.409907
11419,Southwest Queens,Queens,0.842721966,43113.07388,4311.307388
11420,Southwest Queens,Queens,0.842843813,21387.7316,2138.77316
11421,Southwest Queens,Queens,0.840087777,47300.19679,4730.019679
11422,Southeast Queens,Queens,0.851693087,15192.39347,1519.239347
11423,Jamaica,Queens,0.843614393,18611.7956,1861.17956
11426,Southeast Queens,Queens,0.853890646,11534.34324,1153.434324
11427,Southeast Queens,Queens,0.84705919,17363.24268,1736.324268
11428,Southeast Queens,Queens,0.842541202,23949.22315,2394.922315
11429,Southeast Queens,Queens,0.851056085,19348.56326,1934.856326
11432,Jamaica,Queens,0.847064595,29789.43736,2978.943736
11433,Jamaica,Queens,0.853736353,21620.39689,2162.039689
11434,Jamaica,Queens,0.852143001,20517.29904,2051.729904
11435,Jamaica,Queens,0.849093488,39466.8546,3946.68546
11436,Jamaica,Queens,0.850953871,23541.52185,2354.152185
11691,Rockaway,Queens,0.837583884,22769.31477,2276.931477
11692,Rockaway,Queens,0.851014718,25650.75768,2565.075768
11693,Rockaway,Queens,0.852980649,7765.554284,776.5554284
11694,Rockaway,Queens,0.840156451,12288.81532,1228.881532
11697,Rockaway,Queens,0.817031229,1713.188328,171.3188328
